"Step","baseline_iwslt14 - train_inner/gnorm","baseline_iwslt14 - train_inner/gnorm__MIN","baseline_iwslt14 - train_inner/gnorm__MAX"
"46200","0.346","0.346","0.346"
"46300","0.338","0.338","0.338"
"46400","0.336","0.336","0.336"
"46500","0.353","0.353","0.353"
"46600","0.358","0.358","0.358"
"46700","0.355","0.355","0.355"
"46800","0.35","0.35","0.35"
"46900","0.356","0.356","0.356"
"47000","0.349","0.349","0.349"
"47100","0.36","0.36","0.36"
"47200","0.348","0.348","0.348"
"47300","0.355","0.355","0.355"
"47400","0.339","0.339","0.339"
"47500","0.341","0.341","0.341"
"47600","0.357","0.357","0.357"
"47700","0.349","0.349","0.349"
"47800","0.356","0.356","0.356"
"47900","0.335","0.335","0.335"
"48000","0.35","0.35","0.35"
"48100","0.343","0.343","0.343"
"48200","0.35","0.35","0.35"
"48300","0.349","0.349","0.349"
"48400","0.366","0.366","0.366"
"48500","0.337","0.337","0.337"
"48600","0.34","0.34","0.34"
"48700","0.341","0.341","0.341"
"48800","0.357","0.357","0.357"
"48900","0.35","0.35","0.35"
"49000","0.354","0.354","0.354"
"49100","0.342","0.342","0.342"
"49200","0.357","0.357","0.357"
"49300","0.358","0.358","0.358"
"49400","0.375","0.375","0.375"
"49500","0.364","0.364","0.364"
"49600","0.348","0.348","0.348"
"49700","0.334","0.334","0.334"
"49800","0.343","0.343","0.343"
"49900","0.372","0.372","0.372"
"50000","0.335","0.335","0.335"
"50100","0.352","0.352","0.352"
"50200","0.347","0.347","0.347"
"50300","0.357","0.357","0.357"
"50400","0.351","0.351","0.351"
"50500","0.362","0.362","0.362"
"50600","0.35","0.35","0.35"
"50700","0.344","0.344","0.344"
"50800","0.347","0.347","0.347"
"50900","0.35","0.35","0.35"
"51000","0.382","0.382","0.382"
"51100","0.342","0.342","0.342"
"51200","0.364","0.364","0.364"
"51300","0.348","0.348","0.348"
"51400","0.354","0.354","0.354"
"51500","0.354","0.354","0.354"
"51600","0.344","0.344","0.344"
"51700","0.361","0.361","0.361"
"51800","0.35","0.35","0.35"
"51900","0.343","0.343","0.343"
"52000","0.331","0.331","0.331"
"52100","0.365","0.365","0.365"
"52200","0.359","0.359","0.359"
"52300","0.35","0.35","0.35"
"52400","0.365","0.365","0.365"
"52500","0.339","0.339","0.339"
"52600","0.359","0.359","0.359"
"52700","0.348","0.348","0.348"
"52800","0.35","0.35","0.35"
"52900","0.344","0.344","0.344"
"53000","0.334","0.334","0.334"
"53100","0.344","0.344","0.344"
"53200","0.354","0.354","0.354"
"53300","0.362","0.362","0.362"
"53400","0.363","0.363","0.363"
"53500","0.361","0.361","0.361"
"53600","0.386","0.386","0.386"
"53700","0.395","0.395","0.395"
"53800","0.347","0.347","0.347"
"53900","0.347","0.347","0.347"
"54000","0.341","0.341","0.341"
"54100","0.347","0.347","0.347"
"54200","0.348","0.348","0.348"
"54300","0.352","0.352","0.352"
"54400","0.355","0.355","0.355"
"54500","0.351","0.351","0.351"
"54600","0.361","0.361","0.361"
"54700","0.357","0.357","0.357"
"54800","0.349","0.349","0.349"
"54900","0.368","0.368","0.368"
"55000","0.373","0.373","0.373"
"55100","0.385","0.385","0.385"
"55200","0.33","0.33","0.33"
"55300","0.349","0.349","0.349"
"55400","0.391","0.391","0.391"
"55500","0.358","0.358","0.358"
"55600","0.369","0.369","0.369"
"55700","0.35","0.35","0.35"
"55800","0.357","0.357","0.357"
"55900","0.356","0.356","0.356"
"56000","0.351","0.351","0.351"
"56100","0.375","0.375","0.375"
"56200","0.361","0.361","0.361"
"56300","0.337","0.337","0.337"
"56400","0.348","0.348","0.348"
"56500","0.366","0.366","0.366"
"56600","0.389","0.389","0.389"
"56700","0.379","0.379","0.379"
"56800","0.349","0.349","0.349"
"56900","0.374","0.374","0.374"
"57000","0.369","0.369","0.369"
"57100","0.367","0.367","0.367"
"57200","0.35","0.35","0.35"
"57300","0.372","0.372","0.372"
"57400","0.346","0.346","0.346"
"57500","0.352","0.352","0.352"
"57600","0.367","0.367","0.367"
"57700","0.386","0.386","0.386"
"57800","0.366","0.366","0.366"
"57900","0.375","0.375","0.375"
"58000","0.368","0.368","0.368"
"58100","0.371","0.371","0.371"
"58200","0.383","0.383","0.383"
"58300","0.353","0.353","0.353"
"58400","0.352","0.352","0.352"
"58500","0.342","0.342","0.342"
"58600","0.44","0.44","0.44"
"58700","0.368","0.368","0.368"
"58800","0.374","0.374","0.374"
"58900","0.376","0.376","0.376"
"59000","0.378","0.378","0.378"
"59100","0.353","0.353","0.353"
"59200","0.361","0.361","0.361"
"59300","0.374","0.374","0.374"
"59400","0.449","0.449","0.449"
"59500","0.368","0.368","0.368"
"59600","0.363","0.363","0.363"
"59700","0.352","0.352","0.352"
"59800","0.358","0.358","0.358"
"59900","0.368","0.368","0.368"
"60000","0.418","0.418","0.418"
"60100","0.374","0.374","0.374"
"60200","0.358","0.358","0.358"
"60300","0.374","0.374","0.374"
"60400","0.374","0.374","0.374"
"60500","0.356","0.356","0.356"
